z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 10.4	 3.021e-02	    64.90	    26.61	     3.06	    11.43	    11.05	  117.17
 10.5	 3.028e-02	    65.48	    25.11	     3.82	    12.73	     9.42	  116.72
 10.6	 3.034e-02	    63.57	    26.58	     4.20	    12.89	    10.35	  117.58
 10.7	 3.038e-02	    67.45	    26.36	     3.34	    10.50	     9.64	  117.39
 10.8	 3.041e-02	    64.81	    25.81	     3.09	    11.87	     9.58	  115.20
 10.9	 3.046e-02	    67.00	    26.48	     2.83	    11.33	    10.03	  117.90
 11.0	 3.052e-02	    63.73	    27.37	     2.67	    12.22	     9.45	  115.58
 11.1	 3.057e-02	    64.97	    26.90	     2.99	    12.25	    10.50	  117.68
 11.2	 3.063e-02	    67.93	    27.44	     3.28	    12.57	    10.25	  121.56
 11.3	 3.068e-02	    64.11	    27.02	     3.47	    12.92	     9.68	  117.39
 11.4	 3.072e-02	    65.29	    26.71	     3.34	    10.95	     9.90	  116.18
 11.5	 3.078e-02	    65.51	    26.58	     3.60	    11.08	    11.08	  117.90
 11.6	 3.081e-02	    65.64	    26.10	     2.99	    11.05	     9.36	  115.20
 11.7	 3.086e-02	    64.90	    25.08	     3.41	    11.68	    10.03	  115.26
 11.8	 3.090e-02	    65.73	    27.76	     3.21	    11.17	    10.06	  118.06
 11.9	 3.095e-02	    66.49	    26.74	     3.02	     9.49	     9.80	  115.61
 12.0	 3.098e-02	    64.08	    25.62	     3.57	    10.79	     9.49	  113.57
 12.1	 3.102e-02	    66.21	    26.13	     3.06	    11.27	    11.24	  117.93
 12.2	 3.105e-02	    63.44	    27.53	     3.18	    10.66	    10.09	  115.01
 12.3	 3.110e-02	    63.12	    26.80	     3.21	    11.52	    11.20	  116.06
 12.4	 3.114e-02	    63.73	    25.62	     3.60	    10.54	    10.82	  114.50
 12.5	 3.118e-02	    63.31	    24.83	     3.88	    12.67	     8.98	  113.70
 12.6	 3.123e-02	    66.37	    27.66	     3.53	    11.20	    10.95	  119.81
 12.7	 3.127e-02	    67.70	    26.52	     3.60	    12.32	    10.09	  120.32
 12.8	 3.129e-02	    64.36	    26.39	     2.99	    11.08	    10.25	  115.13
 12.9	 3.133e-02	    67.51	    26.23	     3.21	    10.50	     8.59	  116.15
 13.0	 3.138e-02	    67.32	    26.01	     3.28	    11.59	    10.09	  118.35
 13.1	 3.145e-02	    64.46	    23.30	     3.25	    12.19	     9.33	  112.65
 13.2	 3.150e-02	    67.93	    25.62	     3.25	    11.27	     9.36	  117.58
 13.3	 3.162e-02	    64.74	    26.04	     2.71	    12.13	     9.29	  115.01
 13.4	 3.174e-02	    66.91	    28.17	     3.25	    11.05	    10.28	  119.81
 13.5	 3.188e-02	    66.30	    25.91	     2.77	    12.86	     9.96	  117.90
 13.6	 3.201e-02	    66.78	    27.44	     3.37	    10.89	    10.28	  118.95
 13.7	 3.212e-02	    64.84	    26.10	     3.06	    12.06	    10.28	  116.53
 13.8	 3.221e-02	    63.18	    26.80	     3.31	    11.62	    10.03	  115.04
 13.9	 3.230e-02	    68.47	    28.14	     3.02	    11.62	    10.22	  121.53
